,zurich,penumbra,compactness,x_ray_class,association
1984-04-22 21:43:00,F,K,I,M,associated
1984-04-22 22:47:00,F,K,I,M,associated
1984-04-23 01:16:00,F,K,I,M,associated
1984-04-23 01:48:00,F,K,I,M,associated
1984-04-24 02:59:00,F,K,I,X,associated
1984-04-24 17:24:00,F,K,I,M,associated
1984-04-24 20:15:00,F,K,I,M,associated
1984-04-24 23:56:00,F,K,I,X,associated
1984-04-25 14:58:00,F,K,I,M,associated
1984-04-26 06:54:00,F,K,I,M,associated
1984-04-26 08:53:00,F,K,I,M,associated
1984-04-26 10:59:00,F,K,I,M,associated
1984-04-26 17:22:00,F,K,C,M,associated
1984-04-27 05:32:00,F,K,I,M,associated
1984-04-27 13:48:00,F,K,I,M,associated
1984-04-27 16:49:00,F,K,I,M,associated
1984-04-27 17:51:00,F,K,I,M,associated
1984-04-29 14:13:00,F,K,I,M,associated
1984-05-01 00:21:00,F,K,I,M,associated
1984-05-02 19:15:00,F,K,I,M,associated
1984-05-04 16:04:00,F,K,O,M,associated
1984-05-10 17:20:00,F,K,I,M,associated
1984-05-11 07:28:00,F,K,C,M,associated
1984-05-11 10:47:00,F,K,C,M,associated
1984-05-12 05:32:00,F,K,I,M,associated
1984-05-19 07:49:00,C,A,O,M,associated
1984-05-19 21:51:00,F,H,I,X,associated
1984-05-20 01:26:00,F,H,I,M,associated
1984-05-20 04:02:00,F,K,O,M,associated
1984-05-20 05:29:00,F,K,O,M,associated
1984-05-20 06:16:00,F,K,O,M,associated
1984-05-22 06:26:00,F,H,O,M,associated
1984-05-22 14:53:00,F,S,I,M,associated
1984-05-23 04:54:00,F,H,I,M,associated
1984-05-25 08:41:00,F,A,O,M,associated
1984-11-10 04:32:00,D,A,I,M,associated
1984-11-10 20:01:00,D,A,I,M,associated
1984-11-27 18:32:00,E,H,O,M,associated
1984-11-28 00:24:00,E,H,O,M,associated
1985-01-20 20:39:00,E,K,I,M,associated
1985-01-21 02:39:00,D,K,I,M,associated
1985-01-21 04:55:00,D,K,I,M,associated
1985-01-21 14:10:00,E,H,I,M,associated
1985-01-21 15:14:00,E,H,I,M,associated
1985-01-21 16:36:00,E,H,I,M,associated
1985-01-21 21:27:00,E,K,I,M,associated
1985-01-21 23:52:00,E,K,I,X,associated
1985-04-22 16:37:00,D,K,I,M,associated
1985-05-02 07:41:00,D,A,O,M,associated
1985-05-13 09:04:00,D,K,I,M,associated
1985-07-02 20:56:00,D,S,O,M,associated
1985-07-09 01:26:00,D,K,C,M,associated
1986-01-15 06:54:00,C,S,O,M,associated
1986-02-03 20:37:00,D,K,C,M,associated
1986-02-04 07:35:00,D,K,I,X,associated
1986-02-04 10:27:00,C,K,I,M,associated
1986-02-05 12:37:00,D,K,I,M,associated
1986-02-07 10:11:00,D,A,I,M,associated
1986-02-11 03:32:00,D,K,I,M,associated
1986-02-11 23:03:00,D,K,O,M,associated
1986-02-14 09:10:00,E,K,O,M,associated
1986-03-05 07:06:00,D,K,C,M,associated
1986-04-24 03:45:00,D,K,I,M,associated
1986-04-24 06:07:00,D,K,I,M,associated
1986-10-19 00:15:00,F,H,I,M,associated
1987-04-16 15:44:00,D,K,I,M,associated
1987-05-24 15:18:00,E,K,C,M,associated
1987-05-25 03:30:00,E,K,C,M,associated
1987-07-24 09:53:00,D,A,I,M,associated
1987-07-27 18:11:00,C,S,O,M,associated
1987-08-07 19:43:00,D,A,I,M,associated
1987-08-08 01:19:00,D,A,I,M,associated
1987-08-08 03:33:00,D,K,I,M,associated
